Mouse genes	Human genes
Pcdhga4	PCDHGA4
Pcdhga5	PCDHGA5
Pcdhga6	PCDHGA6
Pcdhga7	PCDHGA7
Pcdhga8	PCDHGA8
Pcdhga9	PCDHGA9
Pcdhgb1	PCDHGB1
Pcdhgb2	PCDHGB2
Pcdhgb4	PCDHGB4
Pcdhgb5	PCDHGB5
Pcdhgb6	PCDHGB6
Pcdhgb7	PCDHGB7
Pcdhgb8	PCDHGB8P
Pcdhgc3	PCDHGC3
Pcdhgc4	PCDHGC4
Pcdhgc5	PCDHGC5
Pfdn1	PFDN1
Pkd2l2	PKD2L2
Pura	PURA
Rad50	RAD50
Reep2	REEP2
Rps14	RPS14
Sepp1	SEPP1
Sept8	SEPT8
Sil1	SIL1
Skp1a	SKP1
Slc25a2	SLC25A2
Slc26a2	SLC26A2
Slc4a9	SLC4A9
Slc6a7	SLC6A7
Smad5	SMAD5
Taf7	TAF7
Tcerg1	TCERG1
Tgfbi	TGFBI
Vdac1	VDAC1
Wnt8a	WNT8A
9530068E07Rik	C5orf15
B230219D22Rik	C5orf24
Catsper3	CATSPER3
Cd14	CD14
Cdc42se2	CDC42SE2
Cdkn2aipnl	CDKN2AIPNL
Csf2	CSF2
Ddx46	DDX46
Egr1	EGR1
Etf1	ETF1
Fstl4	FSTL4
Gdf9	GDF9
Gfra3	GFRA3
Gria1	GRIA1
H2afy	H2AFY
Hspa4	HSPA4
Hspa9	HSPA9
Il12b	IL12B
Il3	IL3
Il4	IL4
Il5	IL5
Il9	IL9
Irf1	IRF1
Leap2	LEAP2
Lect2	LECT2
4930404A10Rik	LOC728637
Pcbd2	PCBD2
Pdlim4	PDLIM4
Phf15	PHF15
Pitx1	PITX1
Ppp2ca	PPP2CA
Rapgef6	RAPGEF6
Sar1b	SAR1B
Sec24a	SEC24A
Shroom1	SHROOM1
Slc22a4	SLC22A4
Slc25a48	SLC25A48
Sowaha	SOWAHA
Tcf7	TCF7
Tifab	TIFAB
Trpc7	TRPC7
Txndc15	TXNDC15
Ube2b	UBE2B
Uqcrq	UQCRQ
Zcchc10	ZCCHC10
Gm1614	C5orf65
Ctnna1	CTNNA1
Cxxc5	CXXC5
Dnajc18	DNAJC18
Ecscr	ECSCR
Hint1	HINT1
Lrrtm2	LRRTM2
Matr3	MATR3
Ndufa2	NDUFA2
Paip2	PAIP2
Pde6a	PDE6A
Psd2	PSD2
Slc23a1	SLC23A1
Spata24	SPATA24
Spock1	SPOCK1
Tmem173	TMEM173
Ube2d2	UBE2D2
Ankhd1	ANKHD1
Maskbp3	ANKHD1-EIF4EBP3
Arap3	ARAP3
0610010O12Rik	C5orf32
Dnd1	DND1
Eif4ebp3	EIF4EBP3
Fchsd1	FCHSD1
Hars	HARS
Hars2	HARS2
Ik	IK
Kctd16	KCTD16
0610009O20Rik	KIAA0141
Ndfip1	NDFIP1
Nr3c1	NR3C1
Pcdh1	PCDH1
Rell2	RELL2
Slc35a4	SLC35A4
Sparc	SPARC
Spry4	SPRY4
Sra1	SRA1
Tmco6	TMCO6
Wdr55	WDR55
Yipf5	YIPF5
Zmat2	ZMAT2
Ablim3	ABLIM3
Afap1l1	AFAP1L1
Arhgef37	ARHGEF37
Arsi	ARSI
Atox1	ATOX1
Gm94	C5orf46
Camk2a	CAMK2A
Ccng1	CCNG1
Cd74	CD74
Cdx1	CDX1
Csf1r	CSF1R
Csnk1a1	CSNK1A1
Dpysl3	DPYSL3
Fbxo38	FBXO38
Glra1	GLRA1
Gpr151	GPR151
Grpel2	GRPEL2
Grxcr2	GRXCR2
Hmgxb3	HMGXB3
Jakmip2	JAKMIP2
Lars	LARS
Mfap3	MFAP3
Pcyox1l	PCYOX1L
Plac8l1	PLAC8L1
Pou4f3	POU4F3
Ppargc1b	PPARGC1B
Ppp2r2b	PPP2R2B
Prelid2	PRELID2
Rbm27	RBM27
Scgb3a2	SCGB3A2
Sh3rf2	SH3RF2
Sh3tc2	SH3TC2
Spink3	SPINK1
Spink13	SPINK13
Spink5	SPINK5
Spink6	SPINK6
Spink7	SPINK7
Spink12	SPINK9
Stk32a	STK32A
Tcof1	TCOF1
Tnip1	TNIP1
Bnip1	BNIP1
F12	F12
Gabrp	GABRP
Hand1	HAND1
Megf10	MEGF10
Sgcd	SGCD
Sox30	SOX30
Anxa6	ANXA6
2010002N04Rik	C5orf62
Ccdc69	CCDC69
Fat2	FAT2
G3bp1	G3BP1
Gm2a	GM2A
Il17b	IL17B
Irgm1	IRGM
Kif4-ps	KIF4B
Myoz3	MYOZ3
Ndst1	NDST1
Nmur2	NMUR2
Pdgfrb	PDGFRB
Rbm22	RBM22
Slc36a1	SLC36A1
Slc36a2	SLC36A2
Slc36a3	SLC36A3
Synpo	SYNPO
Zfp300	ZNF300
Galnt10	GALNT10
Gemin5	GEMIN5
Havcr1	HAVCR1
Hmmr	HMMR
Larp1	LARP1
Mrpl22	MRPL22
Sap30l	SAP30L
Adam19	ADAM19
Adra1b	ADRA1B
C1qtnf2	C1QTNF2
4921536K21Rik	C5orf52
Ccnjl	CCNJL
Clint1	CLINT1
Cyfip2	CYFIP2
Fabp6	FABP6
Fam71b	FAM71B
C030019I05Rik	FNDC9
Havcr2	HAVCR2
Lsm11	LSM11
Med7	MED7
Nipal4	NIPAL4
Ppp1r2-ps3	PPP1R2P3
Pwwp2a	PWWP2A
Rnf145	RNF145
Slu7	SLU7
Thg1l	THG1L
Timd4	TIMD4
Ttc1	TTC1
Ublcp1	UBLCP1
Atp10b	ATP10B
Dusp1	DUSP1
Ebf1	EBF1
Fbll1	FBLL1
Fgf18	FGF18
Foxi1	FOXI1
Gabra1	GABRA1
Gabra6	GABRA6
Gabrb2	GABRB2
Gabrg2	GABRG2
Gfpt2	GFPT2
Kcnmb1	KCNMB1
Mat2b	MAT2B
Nkx2-5	NKX2-5
Nudcd2	NUDCD2
Odz2	ODZ2
Pank3	PANK3
Ranbp17	RANBP17
Wwc1	WWC1
Adamts12	ADAMTS12
Canx	CANX
Clk4	CLK4
Cltb	CLTB
Grk6	GRK6
Grm6	GRM6
Ltc4s	LTC4S
Maml1	MAML1
Mapk9	MAPK9
Mgat1	MGAT1
Mgat4b	MGAT4B
Nsd1	NSD1
Scgb3a1	SCGB3A1
Slc34a1	SLC34A1
Slit3	SLIT3
Sncb	SNCB
Sqstm1	SQSTM1
Zfp354c	ZNF354C
Atp6v0e	ATP6V0E1
A930001N09Rik	C5orf41
1700008A04Rik	C5orf50
4930469K13Rik	C5orf58
Ccdc99	CCDC99
Dock2	DOCK2
Drd1a	DRD1
Efcab9	EFCAB9
Ergic1	ERGIC1
Fam196b	FAM196B
Fbxw11	FBXW11
Fgfr4	FGFR4
Kcnip1	KCNIP1
Lcp2	LCP2
Neurl1b	NEURL1B
Npm1	NPM1
Pttg1	PTTG1
Rars	RARS
Gm10136	RPL26L1
Sh3pxd2b	SH3PXD2B
Stc2	STC2
Stk10	STK10
Tlx3	TLX3
Ubtd2	UBTD2
Arl10	ARL10
B4galt7	B4GALT7
Bod1	BOD1
4732471D19Rik	C5orf25
4930524B15Rik	C5orf47
Cdhr2	CDHR2
Cplx2	CPLX2
Eif4e1b	EIF4E1B
Faf2	FAF2
Gprin1	GPRIN1
Higd2a	HIGD2A
Hk3	HK3
Nsg2	HMP19
Hrh2	HRH2
4833439L19Rik	KIAA1191
Msx2	MSX2
Nop16	NOP16
Rnf44	RNF44
Thoc3	THOC3
Uimc1	UIMC1
Unc5a	UNC5A
Zfp346	ZNF346
Agxt2l2	AGXT2L2
Btnl3	BTNL3
Btnl9	BTNL9
3010026O09Rik	C5orf45
Cby3	CBY3
Cnot6	CNOT6
Col23a1	COL23A1
Dbn1	DBN1
Ddx41	DDX41
Dok3	DOK3
Fam193b	FAM193B
Flt4	FLT4
Gnb2l1	GNB2L1
Hnrnpab	HNRNPAB
Hnrnph1	HNRNPH1
Lman2	LMAN2
Mxd3	MXD3
N4bp3	N4BP3
Nhp2	NHP2
Olfr56	OR2V1
Olfr1396	OR2V2
Olfr1385	OR2Y1
Pdlim7	PDLIM7
Pfn3	PFN3
Prelid1	PRELID1
Prop1	PROP1
Prr7	PRR7
Rab24	RAB24
Rasgef1c	RASGEF1C
Rgs14	RGS14
Rmnd5b	RMND5B
Rnf130	RNF130
Rufy1	RUFY1
Sfxn1	SFXN1
Snord95	SNORD95
Snord96a	SNORD96A
Tbc1d9b	TBC1D9B
Tmed9	TMED9
Trim41	TRIM41
Trim7	TRIM7
Tspan17	TSPAN17
Zfp2	ZFP2
Zfp62	ZFP62
Zfp354a	ZNF354A
Zfp354b	ZNF354B
Zfp454	ZNF454
Zfp879	ZNF879
Adamts2	ADAMTS2
Ankrd33b	ANKRD33B
Ctxn3	CTXN3
5830433I10Rik	LOC100289230
1700034E13Rik	LOC100505841
Gm17750	LOC100505894
5430425K12Rik	LOC100505994
Ocln	OCLN
Spink14	SPINK14
Clps	CLPS
Cnpy3	CNPY3
Cyb5r4	CYB5R4
Gfod1	GFOD1
Lgsn	LGSN
Mtch1	MTCH1
Nqo2	NQO2
Zfand3	ZFAND3
Zfp318	ZNF318
Dusp22	DUSP22
Exoc2	EXOC2
F13a1	F13A1
Foxf2	FOXF2
Hus1b	HUS1B
1700026J04Rik	C6orf146
4933417A18Rik	C6orf201
Fam50b	FAM50B
Mylk4	MYLK4
Prpf4b	PRPF4B
Psmg4	PSMG4
1300014I06Rik	PXDC1
Ripk1	RIPK1
Slc22a23	SLC22A23
Wrnip1	WRNIP1
Cdyl	CDYL
Fars2	FARS2
Ly86	LY86
Lyrm4	LYRM4
Muted	MUTED
Nrn1	NRN1
Rpp40	RPP40
Bphl	BPHL
Foxc1	FOXC1
Foxq1	FOXQ1
Gmds	GMDS
Irf4	IRF4
Nedd9	NEDD9
Rreb1	RREB1
Serpinb1a	SERPINB1
Serpinb6a	SERPINB6
Serpinb9	SERPINB9
Tubb2a	TUBB2A
Tubb2b	TUBB2B
Cage1	CAGE1
Eci2	ECI2
Eef1e1	EEF1E1
Ofcc1	OFCC1
Riok1	RIOK1
Slc35b3	SLC35B3
Snrnp48	SNRNP48
Ssr1	SSR1
Txndc5	TXNDC5
BC024659	C6orf228
Elovl2	ELOVL2
Gcnt2	GCNT2
Pak1ip1	PAK1IP1
Sycp2l	SYCP2L
Tmem14c	TMEM14C
9530008L14Rik	ADTRP
Edn1	EDN1
Synb	ERVFRD-1
Phactr1	PHACTR1
Tbc1d7	TBC1D7
Bmp6	BMP6
Dsp	DSP
Hivep1	HIVEP1
Jarid2	JARID2
Mak	MAK
Tfap2a	TFAP2A
Atxn1	ATXN1
Ccdc90a	CCDC90A
Cd83	CD83
C78339	FAM8A1
Fim1	FIM1
Gcm2	GCM2
Gmpr	GMPR
Kif13a	KIF13A
Mylip	MYLIP
Nol7	NOL7
Ranbp9	RANBP9
Rnf182	RNF182
Sirt5	SIRT5
Slc17a1	SLC17A1
Acot13	ACOT13
BC005537	C6orf62
Cap2	CAP2
Cdkal1	CDKAL1
Dek	DEK
Dtnbp1	DTNBP1
Fam65b	FAM65B
Gm1574	FLJ23152
Gmnn	GMNN
Hdgfl1	HDGFL1
Id4	ID4
Kdm1b	KDM1B
D130043K22Rik	KIAA0319
Mboat1	MBOAT1
Mrs2	MRS2
Nhlrc1	NHLRC1
Nrsn1	NRSN1
Nup153	NUP153
Olfr1359	OR2B2
Rbm24	RBM24
Rnf144b	RNF144B
Scgn	SCGN
Sox4	SOX4
Tdp2	TDP2
Tpmt	TPMT
Abt1	ABT1
Hist1h2aa	HIST1H2AA
Hist1h2ba	HIST1H2BA
Hist1h3f	HIST1H3F
Lrrc16a	LRRC16A
Olfr96	OR11A1
Olfr101	OR12D2
Olfr133	OR2N1P
Prl	PRL
Btn1a1	BTN1A1
Btn2a2	BTN2A2
Dcdc2a	DCDC2
Vmn1r87	FKSG83
Gpld1	GPLD1
Gpx5	GPX5
Gpx6	GPX6
Hist1h1b	HIST1H1B
Hist1h2ab	HIST1H2AB
Hist1h2ac	HIST1H2AC
Hist1h2ae	HIST1H2AE
Hist1h2ag	HIST1H2AG
Hist1h2ai	HIST1H2AI
Hist1h2aj	HIST1H2AJ
Hist1h2ak	HIST1H2AK
Hist1h2af	HIST1H2AL
Hist1h2bc	HIST1H2BC
Hist1h2be	HIST1H2BE
Hist1h2bf	HIST1H2BF
Hist1h2bj	HIST1H2BJ
Hist1h2bl	HIST1H2BL
Hist1h2bm	HIST1H2BM
Hist1h2bn	HIST1H2BN
Hist1h3a	HIST1H3A
Hist1h3b	HIST1H3B
Hist1h3c	HIST1H3C
Hist1h3d	HIST1H3D
Hist1h3e	HIST1H3E
Hist1h3g	HIST1H3G
Hist1h3h	HIST1H3H
Hist1h3i	HIST1H3I
Hist1h4a	HIST1H4A
Hist1h4b	HIST1H4B
Hist1h4c	HIST1H4C
Hist1h4d	HIST1H4D
Hist1h4f	HIST1H4F
Hist1h4h	HIST1H4H
Hist1h4j	HIST1H4J
Hist1h4k	HIST1H4K
Mog	MOG
Nkapl	NKAPL
Olfr95	OR10C1
Olfr109	OR12D3
Olfr125	OR14J1
Olfr137	OR2J3
Olfr263	OR2W1
Olfr110	OR5V1
Pgbd1	PGBD1
Pom121l2	POM121L2
Rpp21	RPP21
Trim40	TRIM40
Zfp57	ZFP57
Zkscan3	ZKSCAN3
Zfp322a	ZNF322
Znrd1as	ZNRD1-AS1
Aldh5a1	ALDH5A1
E2f3	E2F3
Fance	FANCE
Slc17a4	SLC17A4
Trim27	TRIM27
Abcf1	ABCF1
Apom	APOM
Atat1	ATAT1
2310061I04Rik	C6orf136
G6b	C6orf25
Def6	DEF6
Dpcr1	DPCR1
Hist1h2ah	HIST1H2AH
Hist1h2bk	HIST1H2BK
Hist1h4i	HIST1H4I
Ly6g5c	LY6G5C
Ly6g6c	LY6G6C
Nrm	NRM
Prr3	PRR3
Ng23	SAPCD1
Sfta2	SFTA2
Tubb5	TUBB
Vars2	VARS2
D17H6S56E-3	VWA7
Zbtb12	ZBTB12
Cmah	CMAHP
Cuta	CUTA
Egfl8	EGFL8
Gm9573	MUC21
Olfr91	OR2H1
Prrt1	PRRT1
Zbtb9	ZBTB9
Anks1	ANKS1A
4930511I11Rik	ARMC12
AI413582	C6orf1
D17Wsu92e	C6orf106
2900010M23Rik	C6orf125
Gm749	C6orf126
4930539E08Rik	C6orf222
Ehmt2	EHMT2
Fkbp5	FKBP5
Gabbr1	GABBR1
Ip6k3	IP6K3
Kctd20	KCTD20
Lemd2	LEMD2
Lhfpl5	LHFPL5
Mapk13	MAPK13
Pnpla1	PNPLA1
Pou5f1	POU5F1
Prickle4	PRICKLE4
Pxt1	PXT1
Rab44	RAB44
Rpl10a	RPL10A
Rps10	RPS10
Snrpc	SNRPC
Srpk1	SRPK1
Taf11	TAF11
Tcp11	TCP11
Zfp187	ZNF187
Zfp523	ZNF76
Abhd16a	ABHD16A
Ager	AGER
Agpat1	AGPAT1
Aif1	AIF1
Atf6b	ATF6B
Atp6v1g2	ATP6V1G2
B3galt4	B3GALT4
Bag6	BAG6
Bak1	BAK1
Brd2	BRD2
Btn3a3	BTN3A3
Btnl2	BTNL2
C2	C2
C4a	C4A
C4b	C4B
Tesb	C6orf10
2300002M23Rik	C6orf15
D17H6S53E	C6orf47
1110038B12Rik	C6orf48
Cchcr1	CCHCR1
Cdsn	CDSN
Cfb	CFB
Clic1	CLIC1
Col11a2	COL11A2
Crisp4	CRISP1
Csnk2b	CSNK2B
Cyp21a1	CYP21A1P
Cyp21a2-ps	CYP21A2
Daxx	DAXX
Ddah2	DDAH2
Ddr1	DDR1
Ddx39b	DDX39B
Dhx16	DHX16
Dom3z	DOM3Z
Fkbpl	FKBPL
Flot1	FLOT1
Glo1	GLO1
Gnl1	GNL1
Gpank1	GPANK1
Gpsm3	GPSM3
Grm4	GRM4
Gtf2h4	GTF2H4
5430410E06Rik	HCG4
Hfe	HFE
Hist1h1a	HIST1H1A
Hist1h1c	HIST1H1C
Hist1h1d	HIST1H1D
Hist1h1e	HIST1H1E
Hist1h1t	HIST1H1T
Hist1h2ad	HIST1H2AD
Hist1h2bb	HIST1H2BB
Hist1h2bp	HIST1H2BD
Hist1h2bg	HIST1H2BG
Hist1h2bh	HIST1H2BH
H2-Q10	HLA-A
H2-Q1	HLA-B
H2-DMa	HLA-DMA
H2-DMb1	HLA-DMB
H2-Oa	HLA-DOA
H2-Ob	HLA-DOB
H2-Pa	HLA-DPA1
H2-Pb	HLA-DPB2
H2-Aa	HLA-DQA1
H2-Ab1	HLA-DQB1
H2-Ea-ps	HLA-DRA
H2-Eb1	HLA-DRB1
C920025E04Rik	HLA-E
H2-M5	HLA-F
H2-M3	HLA-G
Gm7030	HLA-L
Hmgn2l6	HMGN4
H2-Ke6	HSD17B8
Hspa1a	HSPA1A
Hspa1b	HSPA1B
Hspa1l	HSPA1L
Ier3	IER3
Kifc1	KIFC1
Lsm2	LSM2
Lst1	LST1
Lta	LTA
Ltb	LTB
Ly6g5b	LY6G5B
Ly6g6d	LY6G6D
Ly6g6e	LY6G6E
Mapk14	MAPK14
Mdc1	MDC1
Mea1	MEA1
Mill2	MICB
Mocs1	MOCS1
Mrpl14	MRPL14
Mrpl2	MRPL2
Mrps18a	MRPS18A
Mrps18b	MRPS18B
Msh5	MSH5
Ncr3-ps	NCR3
Neu1	NEU1
Nfkbil1	NFKBIL1
Nfya	NFYA
Notch4	NOTCH4
Olfr1366	OR1F12
Olfr11	OR2B6
Olfr90	OR2H2
Pacsin1	PACSIN1
Pbx2	PBX2
H2-Ke2	PFDN6
Phf1	PHF1
Ppp1r10	PPP1R10
Ppp1r11	PPP1R11
Ppp1r18	PPP1R18
Ppt2	PPT2
Prrc2a	PRRC2A
Psmb8	PSMB8
Psmb9	PSMB9
Psors1c2	PSORS1C2
Ptcra	PTCRA
Rdbp	RDBP
Rgl2	RGL2
Ring1	RING1
Rnf39	RNF39
Rnf5	RNF5
Rnf8	RNF8
Rps18	RPS18
Rxrb	RXRB
Scube3	SCUBE3
Slc17a2	SLC17A2
Slc17a3	SLC17A3
Slc39a7	SLC39A7
Slc44a4	SLC44A4
Spdef	SPDEF
Stk19	STK19
Syngap1	SYNGAP1
Tap1	TAP1
Tap2	TAP2
Tapbp	TAPBP
Tcf19	TCF19
Tnf	TNF
Tnxa	TNXA
Tnxb	TNXB
Trim10	TRIM10
Trim15	TRIM15
Trim26	TRIM26
Trim31	TRIM31
Trim38	TRIM38
Trim39	TRIM39
Tulp1	TULP1
Ubd	UBD
Vars	VARS
Vps52	VPS52
Wdr46	WDR46
Zbtb22	ZBTB22
Zfp184	ZNF184
Zfp192	ZNF192
Znrd1	ZNRD1
BC004004	C6orf89
1110021J02Rik	CCDC167
Cdkn1a	CDKN1A
Daam2	DAAM2
Dnahc8	DNAH8
Fgd2	FGD2
Ftsjd2	FTSJD2
Kcnk16	KCNK16
Kif6	KIF6
Lrfn2	LRFN2
Nudt3	NUDT3
Pi16	PI16
Pim1	PIM1
Pla2g7	PLA2G7
Ppard	PPARD
Prph2	PRPH2
1810063B07Rik	SAYSD1
Tbc1d22b	TBC1D22B
Tead3	TEAD3
Tmem217	TMEM217
Aars2	AARS2
Abcc10	ABCC10
Bysl	BYSL
BC048355	C6orf108
AI314976	C6orf130
AI661453	C6orf132
2310039H08Rik	C6orf226
Cpne5	CPNE5
Crip3	CRIP3
Cul7	CUL7
Cul9	CUL9
Cyp39a1	CYP39A1
Dlk2	DLK2
Elovl5	ELOVL5
Enpp4	ENPP4
Enpp5	ENPP5
Foxp4	FOXP4
Frs3	FRS3
Guca1a	GUCA1A
Guca1b	GUCA1B
BC032203	KIAA0240
Klc4	KLC4
Klhdc3	KLHDC3
Gm88	LRRC73
Mad2l1bp	MAD2L1BP
Med20	MED20
Mrps10	MRPS10
Nfkbie	NFKBIE
Pex6	PEX6
Pgc	PGC
Polh	POLH
Polr1c	POLR1C
Ppil1	PPIL1
Ppp2r5d	PPP2R5D
Ptk7	PTK7
Rhag	RHAG
Rpl7l1	RPL7L1
Rrp36	RRP36
Rsph9	RSPH9
Slc22a7	SLC22A7
Slc29a1	SLC29A1
Spats1	SPATS1
Srf	SRF
Supt3h	SUPT3H
Taf8	TAF8
Tbcc	TBCC
Tcte1	TCTE1
Tjap1	TJAP1
Tmem151b	TMEM151B
Tmem63b	TMEM63B
Tnfrsf21	TNFRSF21
Tomm6	TOMM6
Tram2	TRAM2
Trem1	TREM1
Trem2	TREM2
Treml1	TREML1
Treml2	TREML2
Treml4	TREML4
Trerf1	TRERF1
Tspo2	TSPO2
Ttbk1	TTBK1
Ubr2	UBR2
Unc5cl	UNC5CL
Xpo5	XPO5
Yipf3	YIPF3
Apobec2	APOBEC2
Brpf3	BRPF3
Btbd9	BTBD9
Ccnd3	CCND3
Cdc5l	CDC5L
Ggnbp1	GGNBP1
Glp1r	GLP1R
Gtpbp2	GTPBP2
Hmga1	HMGA1
Itpr3	ITPR3
Kcnk5	KCNK5
Ly6g6f	LY6G6F
Mdfi	MDFI
Mdga1	MDGA1
Prss16	PRSS16
Runx2	RUNX2
Skiv2l	SKIV2L
Slc26a8	SLC26A8
Srsf3	SRSF3
Stk38	STK38
Tfeb	TFEB
Uhrf1bp1	UHRF1BP1
Usp49	USP49
Zkscan4	ZKSCAN4
Zscan12	ZSCAN12
3110082D06Rik	C6orf138
9130008F23Rik	C6orf141
Cenpq	CENPQ
Clic5	CLIC5
Crisp2	CRISP2
Crisp1	CRISP3
Gm15386	DEFB110
Defb18	DEFB113
Defb44-ps	DEFB133
Efhc1	EFHC1
Fbxo9	FBXO9
Glyatl3	GLYATL3
Gpr110	GPR110
Gpr111	GPR111
Gpr115	GPR115
Gpr116	GPR116
Mut	MUT
Opn5	OPN5
Pgk2	PGK2
Rcan2	RCAN2
Slc25a27	SLC25A27
Tdrd6	TDRD6
Gm3776	GSTA5
Pkhd1	PKHD1
Rn7sk	RN7SK
Tmem14a	TMEM14A
Bag2	BAG2
Bend6	BEND6
Bmp5	BMP5
Dst	DST
Fam83b	FAM83B
Gcm1	GCM1
Gfral	GFRAL
Gsta2	GSTA2
Gsta3	GSTA3
Gsta4	GSTA4
Hmgcll1	HMGCLL1
Ick	ICK
Klhl31	KLHL31
Lrrc1	LRRC1
2310046A06Rik	MLIP
Paqr8	PAQR8
Slc35b2	SLC35B2
Tfap2d	TFAP2D
Tinag	TINAG
Zfp451	ZNF451
Capn11	CAPN11
Cd2ap	CD2AP
Gclc	GCLC
Gnmt	GNMT
Hcrtr2	HCRTR2
Hsp90ab1	HSP90AB1
Il17a	IL17A
Il17f	IL17F
Mcm3	MCM3
Mep1a	MEP1A
Prim2	PRIM2
Tfap2b	TFAP2B
Vegfa	VEGFA
Rab23	RAB23
Khdrbs2	KHDRBS2
Trmt11	TRMT11
Bai3	BAI3
Cga	CGA
Col12a1	COL12A1
Col19a1	COL19A1
Col9a1	COL9A1
Cox7a2	COX7A2
Me1	ME1
Phf3	PHF3
Ptp4a1	PTP4A1
Rims1	RIMS1
B3gat2	B3GAT2
2410004A20Rik	C6orf221
1110058L19Rik	C6orf57
Cd109	CD109
Dppa5a	DPPA5
Fam135a	FAM135A
Gabrr1	GABRR1
Gabrr2	GABRR2
Hddc2	HDDC2
Htr1b	HTR1B
Khdc1c	KHDC1L
Lmbrd1	LMBRD1
E330016A19Rik	MB21D1
Mto1	MTO1
Myo6	MYO6
Ogfrl1	OGFRL1
Ooep	OOEP
Rwdd1	RWDD1
Senp6	SENP6
Smap1	SMAP1
Ttk	TTK
Cnr1	CNR1
Elovl4	ELOVL4
Fam46a	FAM46A
Irak1bp1	IRAK1BP1
Kcnq5	KCNQ5
Nt5e	NT5E
Phip	PHIP
Slc17a5	SLC17A5
Syncrip	SYNCRIP
Tbx18	TBX18
Tpbg	TPBG
Bckdhb	BCKDHB
Eef1a1	EEF1A1
Filip1	FILIP1
Hmgn3	HMGN3
Ibtk	IBTK
Lca5	LCA5
Pgm3	PGM3
Sh3bgrl2	SH3BGRL2
Tmem30a	TMEM30A
Ube2cbp	UBE2CBP
Ankrd6	ANKRD6
Impg1	IMPG1
Mrap2	MRAP2
Prss35	PRSS35
Ripply2	RIPPLY2
Rwdd2a	RWDD2A
Snap91	SNAP91
4922501C03Rik	KIAA1009
Orc3	ORC3
Snx14	SNX14
Zfp292	ZNF292
Akirin2	AKIRIN2
Bach2	BACH2
1810030N24Rik	C6orf162
Gm136	C6orf163
1700003M02Rik	C6orf165
Casp8ap2	CASP8AP2
Dopey1	DOPEY1
Gja10	GJA10
Lyrm2	LYRM2
Map3k7	MAP3K7
Mdn1	MDN1
Pm20d2	PM20D2
Pnrc1	PNRC1
Rragd	RRAGD
Slc35a1	SLC35A1
Spaca1	SPACA1
Srsf12	SRSF12
Ube2j1	UBE2J1
Ascc3	ASCC3
Fut9	FUT9
Pou3f2	POU3F2
Prdm13	PRDM13
Rngtt	RNGTT
Epha7	EPHA7
Fbxl4	FBXL4
Fhl5	FHL5
Gpr63	GPR63
Klhl32	KLHL32
Manea	MANEA
Mms22l	MMS22L
Ndufaf4	NDUFAF4
Rars2	RARS2
1810074P20Rik	UFL1
6230409E13Rik	C6orf168
Coq3	COQ3
2610029I01Rik	LOC100130890
Usp45	USP45
Grik2	GRIK2
Hace1	HACE1
Sfrs18	PNISR
Sim1	SIM1
Aim1	AIM1
Amd1	AMD1
Armc2	ARMC2
Atg5	ATG5
Bend3	BEND3
Bves	BVES
9030224M15Rik	C6orf186
1700021F05Rik	C6orf203
1700025K23Rik	C6orf225
Ccnc	CCNC
Cd164	CD164
Cdc40	CDC40
Cdk19	CDK19
Cep57l1	CEP57L1
Col10a1	COL10A1
Ddo	DDO
Fig4	FIG4
Gm6976	FLJ37396
Foxo3	FOXO3
Frk	FRK
Fyn	FYN
Gja1	GJA1
Gopc	GOPC
Gpr6	GPR6
Gstm2-ps1	GSTM2P1
Gtf3c6	GTF3C6
Hdac2	HDAC2
Hey2	HEY2
Hs3st5	HS3ST5
Lama4	LAMA4
Lin28b	LIN28B
Mical1	MICAL1
Nkain2	NKAIN2
Nmbr	NMBR
Nr2e1	NR2E1
Ostm1	OSTM1
Pdss2	PDSS2
Popdc3	POPDC3
Ppil6	PPIL6
Prdm1	PRDM1
Qrsl1	QRSL1
Rev3l	REV3L
Rpf2	RPF2
Rtn4ip1	RTN4IP1
Scml4	SCML4
Sec63	SEC63
Sesn1	SESN1
Slc16a10	SLC16A10
Smpd2	SMPD2
Snx3	SNX3
Sobp	SOBP
Traf3ip2	TRAF3IP2
Tube1	TUBE1
Wasf1	WASF1
Wisp3	WISP3
Zbtb24	ZBTB24
Bclaf1	BCLAF1
Gm9766	CEP85L
Dse	DSE
Enpp1	ENPP1
Enpp3	ENPP3
Fabp7	FABP7
2010001E11Rik	KIAA1919
Lama2	LAMA2
Man1a	MAN1A1
Myb	MYB
Prep	PREP
Ros1	ROS1
Tpd52l1	TPD52L1
Bet3l	BET3L
Dcbld1	DCBLD1
Fam162b	FAM162B
Fam26d	FAM26D
Fam26e	FAM26E
Fam26f	FAM26F
Gprc6a	GPRC6A
Lace1	LACE1
Nepn	NEPNP
Nt5dc1	NT5DC1
Nus1	NUS1
Pln	PLN
Rfx6	RFX6
Rnf146	RNF146
Rsph4a	RSPH4A
Slc22a16	SLC22A16
Tbpl1	TBPL1
Tspyl1	TSPYL1
Tspyl4	TSPYL4
Vgll2	VGLL2
Zufsp	ZUFSP
Marcks	MARCKS
Ptprk	PTPRK
1110021L09Rik	C6orf192
Asf1a	ASF1A
D630037F22Rik	C6orf170
Clvs2	CLVS2
Fam184a	FAM184A
Hsf2	HSF2
Mcm9	MCM9
Pkib	PKIB
Rnf217	RNF217
Serinc1	SERINC1
Slc35f1	SLC35F1
